Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S5,2020,5,5,23,1,3,45.431099,-71.914307,148.39999,15,50,5.5,60,614.4,5785,0.13048,27,22,21,43,UE,0.469,0.570,,
S1,2020,5,5,23,1,8,45.430504,-71.913971,148.39999,15,50.1,5.5,60,614.4,1657,1.813666,408,209,79,751,UE,0.095,0.273,,
S2,2020,5,5,23,1,11,45.430153,-71.913765,148.5,15,50,5.4,60,614.4,1764,0.326199,138,74,64,233,UE,0.253,0.401,,
S3,2020,5,5,23,1,13,45.429924,-71.913643,148.60001,15,50,5.4,60,614.4,1703,1.970242,976,513,467,1681,OK,0.242,0.379,,
S4,2020,5,5,23,1,15,45.429585,-71.913445,148.8,15,50,5.4,60,614.4,2646,0.665446,207,128,114,311,OK,0.324,0.463,,
S5,2020,5,5,23,1,18,45.429367,-71.913322,149.10001,15,50.1,5.5,60,614.4,6781,0.195719,42,34,34,49,UE,0.471,0.557,,
S6,2020,5,5,23,1,20,45.429066,-71.913116,149.10001,15,50.1,5.5,60,614.4,1700,0.274007,166,87,85,260,UE,0.235,0.353,,
S1,2020,5,5,23,1,23,45.428864,-71.913002,150.89999,15,50.1,5.5,60,614.4,2586,2.061578,422,283,207,751,OK,0.329,0.498,,
S2,2020,5,5,23,1,25,45.42865,-71.912895,151.10001,14,50.2,5.5,60,614.4,2010,1.226508,689,290,190,1119,OK,0.152,0.313,,
S3,2020,5,5,23,1,28,45.428326,-71.91272,150.39999,15,50.2,5.5,60,614.4,2171,2.987983,885,525,426,1549,OK,0.295,0.454,,
S4,2020,5,5,23,1,30,45.428112,-71.912598,151.7,15,50.2,5.4,60,614.4,1895,3.170654,1729,752,522,2819,OK,0.164,0.326,,
S5,2020,5,5,23,1,33,45.427811,-71.912437,150.8,15,50.2,5.5,60,614.4,2686,0.169623,51,32,28,73,UE,0.330,0.472,,
S6,2020,5,5,23,1,35,45.427616,-71.912331,151,15,50.2,5.4,60,614.4,4020,0.247911,379,162,155,562,OK,0.131,0.246,,
S1,2020,5,5,23,1,38,45.427319,-71.912178,151.3,15,50.3,5.5,60,614.4,2821,0.456679,98,67,52,181,UE,0.350,0.510,,
S2,2020,5,5,23,1,40,45.42712,-71.912064,151.39999,15,50.3,5.5,60,614.4,1969,1.970242,1046,440,278,1727,OK,0.150,0.312,,
S3,2020,5,5,23,1,42,45.426815,-71.911903,151.39999,15,50.3,5.5,60,614.4,1689,0.534966,177,93,65,295,UE,0.225,0.402,,
S4,2020,5,5,23,1,45,45.426609,-71.911781,152.89999,15,50.3,5.5,60,614.4,1943,1.239556,391,222,175,677,OK,0.272,0.436,,
S5,2020,5,5,23,1,47,45.426304,-71.911606,153.3,15,50.3,5.5,60,614.4,2835,0.561062,120,82,64,227,UE,0.351,0.510,,
S6,2020,5,5,23,1,50,45.426109,-71.911507,153.8,15,50.3,5.5,60,614.4,3376,0.078288,34,21,21,53,UE,0.325,0.431,,
S1,2020,5,5,23,1,52,45.425915,-71.911392,154,15,50.3,5.5,60,614.4,2050,1.657091,434,257,187,771,OK,0.278,0.451,,
S2,2020,5,5,23,1,55,45.425632,-71.911224,154.2,15,50.3,5.5,60,614.4,1721,1.096029,488,219,141,821,OK,0.166,0.337,,
S3,2020,5,5,23,1,57,45.425442,-71.911118,154.39999,15,50.4,5.5,60,614.4,1917,2.62264,710,407,287,1263,OK,0.259,0.436,,
S4,2020,5,5,23,2,0,45.425144,-71.910957,155,15,50.4,5.5,60,614.4,1639,1.34394,563,287,228,898,OK,0.227,0.388,,
S5,2020,5,5,23,2,2,45.42495,-71.910851,155.39999,15,50.4,5.5,60,614.4,2861,0.534966,151,97,85,221,UE,0.341,0.482,,
S6,2020,5,5,23,2,4,45.424656,-71.910683,155.8,20,50.4,5.5,60,614.4,3211,0.091336,41,25,25,62,UE,0.318,0.425,,
S1,2020,5,5,23,2,7,45.424473,-71.910576,155.7,15,50.4,5.5,60,614.4,1910,5.388807,1288,747,474,2402,OK,0.242,0.427,,
