# Les lignes C, R, G ou B etait < ou = 20 ont ete effacees
Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,
S2,2020,6,10,22,46,30,45.428429,-71.871773,220.8,13,57.8,19.2,60,614.4,3810,1.122124,109,110,70,267,UE,,,
S3,2020,6,10,22,46,32,45.428432,-71.871605,220.3,13,57.8,19.2,60,614.4,4618,0.300103,42,38,31,87,UE,,,
S4,2020,6,10,22,46,34,45.428432,-71.871368,220.3,13,57.8,19.2,60,614.4,1649,0.587158,284,135,103,484,OK,,,
S5,2020,6,10,22,46,37,45.428425,-71.871246,218.60001,12,57.9,19.2,60,614.4,2494,0.521918,103,69,48,186,UE,,,
S6,2020,6,10,22,46,39,45.42836,-71.871162,218,12,57.9,19.2,60,614.4,1670,0.874213,289,127,54,485,UE,,,
S1,2020,6,10,22,46,42,45.428322,-71.87114,218.10001,13,58,19.2,60,614.4,1670,6.315212,1290,670,211,2392,OK,,,
S2,2020,6,10,22,46,44,45.42828,-71.871124,218.39999,13,58,19.2,60,614.4,1684,5.662814,1870,810,324,3256,OK,,,
S3,2020,6,10,22,46,47,45.428234,-71.871124,218.8,13,58,19.2,60,614.4,2655,0.717638,120,86,56,254,UE,,,
S4,2020,6,10,22,46,49,45.428215,-71.871124,219.39999,13,58,19.2,60,614.4,3402,0.352295,75,54,45,152,UE,,,
S5,2020,6,10,22,46,52,45.428165,-71.871124,220.7,14,58,19.2,60,614.4,3252,0.743734,123,94,70,274,UE,,,
S2,2020,6,10,22,46,59,45.428078,-71.87114,224.3,14,57.9,19.2,60,614.4,3995,1.761474,198,188,133,534,OK,,,
S3,2020,6,10,22,47,1,45.427971,-71.871155,224.3,14,57.9,19.2,60,614.4,5603,0.613254,75,75,64,211,UE,,,
S4,2020,6,10,22,47,4,45.427898,-71.871178,226.5,14,57.9,19.2,60,614.4,4674,0.70459,111,95,81,267,UE,,,
S5,2020,6,10,22,47,6,45.427799,-71.871193,227.7,14,57.9,19.2,60,614.4,5272,0.965549,137,126,109,349,OK,,,
S2,2020,6,10,22,47,14,45.427856,-71.871078,225.3,14,57.8,19.2,60,614.4,4950,0.822021,132,113,99,312,UE,,,
S3,2020,6,10,22,47,16,45.427895,-71.871086,224.3,14,57.8,19.1,60,614.4,4236,0.626302,110,88,75,254,UE,,,
S4,2020,6,10,22,47,19,45.427959,-71.871094,224.3,14,57.8,19.2,60,614.4,3732,1.500515,208,177,131,514,OK,,,
S5,2020,6,10,22,47,21,45.428013,-71.871101,223.89999,14,57.8,19.1,60,614.4,4808,1.774523,189,195,150,531,OK,,,
S2,2020,6,10,22,47,28,45.428295,-71.871094,221.8,14,57.7,19.1,60,614.4,1767,0.378391,135,73,57,216,UE,,,
S3,2020,6,10,22,47,31,45.428349,-71.871094,220.3,13,57.7,19.1,60,614.4,1791,0.600206,159,88,56,265,UE,,,
S4,2020,6,10,22,47,33,45.428364,-71.871094,220.3,12,57.8,19.2,60,614.4,2358,0.835069,192,122,90,367,UE,,,
S5,2020,6,10,22,47,36,45.428391,-71.871101,220.3,13,57.8,19.2,60,614.4,1880,6.380452,1394,809,458,2543,OK,,,
S6,2020,6,10,22,47,38,45.428368,-71.871086,219.8,12,57.8,19.2,60,614.4,1997,1.670139,786,314,153,1214,OK,,,
S1,2020,6,10,22,47,41,45.428352,-71.871086,219.5,13,57.7,19.1,60,614.4,2105,9.994737,4713,1800,744,7230,OK,,,
S2,2020,6,10,22,47,43,45.428352,-71.871086,219.39999,13,57.7,19.1,60,614.4,1693,0.534966,194,102,77,299,UE,,,
S3,2020,6,10,22,47,46,45.428356,-71.871086,219.2,13,57.8,19.2,60,614.4,2614,1.291748,351,222,187,496,OK,,,
S4,2020,6,10,22,47,48,45.428375,-71.871086,219.10001,13,57.7,19.1,60,614.4,2169,0.665446,164,100,73,304,UE,,,
S5,2020,6,10,22,47,50,45.428448,-71.87117,218.39999,13,57.7,19.1,60,614.4,4293,0.76983,118,100,82,282,UE,,,
S2,2020,6,10,22,47,58,45.42849,-71.871651,219.7,13,57.7,19.1,60,614.4,1639,0.287055,112,57,43,196,UE,,,
S3,2020,6,10,22,48,0,45.42849,-71.871796,220.2,13,57.7,19.1,60,614.4,2290,0.365343,72,47,30,139,UE,,,
S4,2020,6,10,22,48,3,45.42849,-71.871994,220.89999,13,57.7,19.1,60,614.4,1797,0.443631,233,104,74,366,UE,,,
S5,2020,6,10,22,48,5,45.42849,-71.872108,221.5,13,57.7,19.1,60,614.4,4703,1.34394,123,137,99,319,UE,,,
S1,2020,6,10,22,48,10,45.428478,-71.872345,221.89999,13,57.7,19.1,60,614.4,2440,0.691542,178,112,89,289,UE,,,
S2,2020,6,10,22,48,13,45.428463,-71.872536,222.3,13,57.6,19.1,60,614.4,1680,0.678494,270,141,113,470,OK,,,
S3,2020,6,10,22,48,15,45.428455,-71.872688,222.7,13,57.6,19.1,60,614.4,2340,0.117432,42,25,22,68,UE,,,
S4,2020,6,10,22,48,17,45.428429,-71.872932,223.39999,13,57.6,19.1,60,614.4,5378,0.900309,1699,513,258,2479,OK,,,
S5,2020,6,10,22,48,20,45.42841,-71.873093,223.60001,13,57.7,19.2,60,614.4,3448,0.417535,97,68,59,133,UE,,,
S6,2020,6,10,22,48,22,45.428379,-71.873344,223.60001,13,57.7,19.1,60,614.4,1620,0.469727,132,63,28,222,UE,,,
S2,2020,6,10,22,48,27,45.428349,-71.873665,225.5,13,57.8,19.2,60,614.4,1700,0.143528,68,31,21,101,UE,,,
S3,2020,6,10,22,48,30,45.428329,-71.873871,226.5,13,57.7,19.1,60,614.4,1926,0.430583,101,59,37,195,UE,,,
