# Les lignes C, R, G ou B etait < ou = 20 ont ete effacees
Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S2,2020,4,25,22,41,43,45.395313,-71.884659,153.10001,14,33.9,7.7,60,614.4,2076,1.878906,1075,446,287,1735,OK,0.15,0.31,,
S3,2020,4,25,22,41,45,45.395435,-71.884712,152.89999,14,33.9,7.8,60,614.4,1642,1.644043,568,289,199,961,OK,0.21,0.39,,
S4,2020,4,25,22,41,48,45.395622,-71.884827,152.5,14,33.9,7.7,60,614.4,2110,3.509901,2525,1110,905,4260,OK,0.17,0.32,,
S5,2020,4,25,22,41,50,45.395756,-71.884903,153,14,34,7.8,60,614.4,2881,0.13048,123,50,39,192,UE,0.14,0.29,,
S6,2020,4,25,22,41,53,45.395943,-71.88504,153.2,14,34,7.7,60,614.4,2145,2.909695,1928,822,612,3179,OK,0.16,0.31,,
S1,2020,4,25,22,41,55,45.396069,-71.885147,152.89999,14,34,7.7,60,614.4,1938,1.239556,436,245,204,803,OK,0.27,0.43,,
S2,2020,4,25,22,41,58,45.396259,-71.8853,152.89999,14,34,7.7,60,614.4,3373,0.626302,609,230,160,964,OK,0.13,0.27,,
S3,2020,4,25,22,42,0,45.396404,-71.885391,153,14,34,7.7,60,614.4,1625,0.743734,323,156,114,529,OK,0.2,0.37,,
S4,2020,4,25,22,42,2,45.396633,-71.885536,152.39999,14,34,7.7,60,614.4,1649,1.174316,513,241,168,845,OK,0.19,0.36,,
S5,2020,4,25,22,42,5,45.396774,-71.885628,150.89999,14,34,7.7,60,614.4,1706,0.352295,117,62,44,201,UE,0.23,0.41,,
S6,2020,4,25,22,42,7,45.396919,-71.885712,150.60001,14,34,7.7,60,614.4,2153,2.218153,538,328,236,995,OK,0.29,0.46,,
S1,2020,4,25,22,42,10,45.397129,-71.885857,150.89999,14,34,7.7,60,614.4,1653,15.383543,5584,2869,2098,10008,OK,0.22,0.39,,
S2,2020,4,25,22,42,12,45.397247,-71.885933,151.39999,14,34,7.6,60,614.4,1685,15.422688,7139,3296,2326,12507,OK,0.18,0.35,,
S3,2020,4,25,22,42,15,45.397411,-71.88604,152.2,14,34,7.6,60,614.4,1622,1.14822,457,227,166,749,OK,0.21,0.38,,
S4,2020,4,25,22,42,17,45.397488,-71.886078,152.60001,14,34,7.6,60,614.4,5892,0.548014,1806,594,422,2690,OK,0.12,0.21,,
S5,2020,4,25,22,42,20,45.397533,-71.886101,153.3,14,34,7.6,60,614.4,1752,0.626302,322,146,106,522,OK,0.18,0.34,,
