Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,
S6,2020,6,9,22,51,22,45.425617,-71.914627,175.8,11,52.4,15.6,60,614.4,1639,0.443631,171,87,65,284,UE,,,
S2,2020,6,9,22,51,27,45.425793,-71.914719,177.89999,11,52.4,15.5,60,614.4,1972,0.234863,143,62,45,225,UE,,,
S4,2020,6,9,22,51,32,45.426006,-71.914917,177.60001,11,52.4,15.5,60,614.4,1641,2.700928,1106,520,347,1834,OK,,,
S5,2020,6,9,22,51,35,45.426121,-71.915092,177.2,11,52.4,15.5,60,614.4,2903,3.027127,810,526,457,1522,OK,,,
S6,2020,6,9,22,51,37,45.426186,-71.915237,176.60001,11,52.5,15.5,60,614.4,1982,0.287055,83,48,36,146,UE,,,
S2,2020,6,9,22,51,42,45.426235,-71.915604,177.89999,11,52.5,15.5,60,614.4,1845,0.417535,110,62,41,203,UE,,,
S4,2020,6,9,22,51,47,45.426193,-71.915901,179,11,52.5,15.5,60,614.4,2595,2.322537,1706,675,455,2778,OK,,,
S5,2020,6,9,22,51,49,45.42614,-71.916077,179.89999,11,52.5,15.5,60,614.4,1715,10.516655,3408,1813,1296,5998,OK,,,
S6,2020,6,9,22,51,52,45.426098,-71.916199,180.39999,11,52.5,15.5,60,614.4,1653,0.652398,245,126,94,420,UE,,,
S2,2020,6,9,22,51,57,45.426018,-71.916458,181.8,11,52.5,15.5,60,614.4,2037,0.117432,76,33,25,117,UE,,,
S3,2020,6,9,22,51,59,45.42598,-71.916534,182.60001,11,52.5,15.5,60,614.4,2116,2.400825,696,411,325,1215,OK,,,
S4,2020,6,9,22,52,2,45.425903,-71.916603,183.2,11,52.5,15.5,60,614.4,1837,0.208767,128,58,46,193,UE,,,
S5,2020,6,9,22,52,4,45.425835,-71.91658,182.7,11,52.5,15.4,60,614.4,1671,0.117432,50,26,21,75,UE,,,
S3,2020,6,9,22,52,14,45.425385,-71.916306,183.7,11,52.6,15.4,60,614.4,1644,0.195719,107,55,50,164,UE,,,
S4,2020,6,9,22,52,16,45.425262,-71.916222,184,11,52.6,15.4,60,614.4,2563,0.143528,130,55,45,188,UE,,,
S2,2020,6,9,22,52,26,45.424892,-71.915916,186.8,11,52.7,15.5,60,614.4,1631,0.104384,55,28,25,77,UE,,,
S3,2020,6,9,22,52,29,45.42477,-71.915802,186,10,52.7,15.4,60,614.4,1629,5.010417,1972,993,742,3340,OK,,,
S4,2020,6,9,22,52,31,45.424683,-71.915718,185.89999,10,52.7,15.4,60,614.4,1823,7.398193,2737,1100,383,4486,OK,,,
S5,2020,6,9,22,52,34,45.424545,-71.915588,185.7,11,52.7,15.4,60,614.4,2753,0.926405,182,126,93,329,UE,,,
S1,2020,6,9,22,52,39,45.424305,-71.91539,181.8,11,52.9,15.4,60,614.4,2035,2.635688,750,438,335,1245,OK,,,
S2,2020,6,9,22,52,41,45.424217,-71.915298,179.60001,11,53,15.4,60,614.4,1637,3.19675,1222,620,460,2093,OK,,,
S3,2020,6,9,22,52,43,45.424107,-71.915154,177.7,11,53,15.3,60,614.4,2094,2.139865,562,335,249,1011,OK,,,
S4,2020,6,9,22,52,46,45.424068,-71.915024,176,11,53.1,15.4,60,614.4,2079,1.030789,618,260,178,1028,OK,,,
S5,2020,6,9,22,52,48,45.424057,-71.914825,176,11,53.1,15.4,60,614.4,3019,0.143528,46,29,27,59,UE,,,
S6,2020,6,9,22,52,51,45.424057,-71.914711,171.5,11,53.1,15.3,60,614.4,1691,0.326199,118,62,46,197,UE,,,
S2,2020,6,9,22,52,56,45.424049,-71.914413,167.2,11,53.3,15.3,60,614.4,2382,1.513563,1037,421,289,1630,OK,,,
S3,2020,6,9,22,52,58,45.424049,-71.914345,165.5,11,53.3,15.3,60,614.4,1631,0.221815,93,47,36,148,UE,,,
S4,2020,6,9,22,53,1,45.423992,-71.914238,165.10001,11,53.3,15.3,60,614.4,2330,0.391439,269,110,76,418,UE,,,
S5,2020,6,9,22,53,3,45.42392,-71.914223,164.10001,10,53.4,15.3,60,614.4,2556,0.561062,111,75,53,217,UE,,,
S6,2020,6,9,22,53,6,45.423763,-71.914223,165.89999,11,53.5,15.3,60,614.4,1712,0.352295,182,84,63,297,UE,,,
S1,2020,6,9,22,53,8,45.42366,-71.914215,165.7,11,53.5,15.3,60,614.4,1749,0.417535,201,107,97,340,UE,,,
S2,2020,6,9,22,53,10,45.423523,-71.91423,166.3,11,53.4,15.3,60,614.4,3596,0.600206,632,236,165,973,OK,,,
S4,2020,6,9,22,53,15,45.423344,-71.914299,166.8,11,53.4,15.3,60,614.4,4742,0.678494,1077,395,302,1704,OK,,,
S5,2020,6,9,22,53,18,45.423313,-71.914368,167.60001,11,53.5,15.3,60,614.4,1703,0.13048,90,43,38,127,UE,,,
S6,2020,6,9,22,53,20,45.423313,-71.914474,168.10001,11,53.5,15.3,60,614.4,1797,0.104384,67,31,26,105,UE,,,
S3,2020,6,9,22,53,28,45.423306,-71.914963,172.39999,11,53.5,15.3,60,614.4,2606,0.313151,79,51,41,146,UE,,,
S4,2020,6,9,22,53,30,45.423313,-71.915085,173.8,11,53.3,15.2,60,614.4,2337,0.339247,244,101,73,372,UE,,,
S5,2020,6,9,22,53,33,45.423321,-71.915291,175.60001,11,53.3,15.2,60,614.4,1979,0.13048,46,26,22,65,UE,,,
S6,2020,6,9,22,53,35,45.423321,-71.915398,177.10001,11,53.4,15.3,60,614.4,1851,0.195719,55,31,21,95,UE,,,
S1,2020,6,9,22,53,37,45.423317,-71.915543,177.89999,11,53.3,15.3,60,614.4,2761,0.482775,66,51,30,136,UE,,,
S2,2020,6,9,22,53,40,45.423321,-71.915634,178.60001,11,53.3,15.3,60,614.4,2339,0.652398,418,167,106,662,OK,,,
S3,2020,6,9,22,53,42,45.423321,-71.915749,178.60001,11,53.3,15.2,60,614.4,2284,8.963948,1294,904,436,2865,OK,,,
S4,2020,6,9,22,53,45,45.423325,-71.91584,181.10001,11,53.3,15.2,60,614.4,4615,0.391439,591,216,162,916,OK,,,
S2,2020,6,9,22,53,55,45.4235,-71.916351,189.8,12,53.2,15.2,60,614.4,3034,0.208767,197,79,61,309,UE,,,
